id,lon,lat,time
137,140.99,-37.4,2017-01-15
138,144.81,-37.55,2017-01-15
139,144.51999,-37.65,2017-01-15
140,142.23999,-37.06,2017-01-15
141,141.2,-37.39,2017-01-15
142,141.32001,-36.75999,2017-01-15
143,142.2,-37,2017-01-15
144,146.48,-37.93999,2017-01-16
145,148.47333,-37.20666666666667,2017-01-16
146,145.36,-37.8,2017-01-16
147,145.509995,-37.589995,2017-01-16
148,145.51999,-37.65,2017-01-16
149,145.5,-37.7,2017-01-16
150,146.34,-36.7,2017-01-16
151,148.39999799999998,-36.951996,2017-01-16
152,146.634285,-37.80571285714286,2017-01-16
153,146.58,-37.92,2017-01-16
154,149.29714285714286,-37.285712857142855,2017-01-16
155,145.45999,-37.52,2017-01-16
156,145.289995,-37.83,2017-01-16
157,146.23999,-37.89,2017-01-16
158,146.669995,-38.429995000000005,2017-01-16
159,148.6050025,-37.025000000000006,2017-01-16
160,148.57,-37.11,2017-01-16
161,146.65304130434782,-37.573912173913044,2017-01-16
162,147.22666333333333,-37.67333333333333,2017-01-16
163,148.66,-37.05,2017-01-16
164,147.179995,-37.629999999999995,2017-01-16
165,146.67999,-37.69,2017-01-16
166,146.56,-37.72,2017-01-16
167,146.89666333333332,-37.773331666666664,2017-01-16
168,147.270005,-37.85,2017-01-16
169,145.5800025,-37.870000000000005,2017-01-16
170,145.92,-37.93999,2017-01-16
171,146.64285714285714,-37.948567142857144,2017-01-16
172,146.001999,-37.99,2017-01-16
173,146.64,-37.46,2017-01-16
174,147.28,-37.6,2017-01-16
175,147.10001,-37.64,2017-01-16
176,147.42,-37.7,2017-01-16
177,146.22666333333333,-37.95999666666667,2017-01-16
178,146.17332666666667,-37.98,2017-01-16
179,146.62,-38,2017-01-16
180,147.316003,-37.561997000000005,2017-01-16
181,145.79999,-37.730000000000004,2017-01-16
182,145.62,-37.8,2017-01-16
183,145.66,-37.8,2017-01-16
184,146.432,-37.864,2017-01-16
185,146.48,-37.86666666666667,2017-01-16
186,146.744,-37.892,2017-01-16
187,147.66,-37.57999,2017-01-16
188,147.89999666666665,-37.583328333333334,2017-01-16
189,147.0242842857143,-37.81428285714286,2017-01-16
190,147.78,-37.43999,2017-01-16
191,148.06666666666666,-37.56666333333334,2017-01-16
192,146.88,-36.79,2017-01-16
193,146.60001,-37.4,2017-01-16
194,147.36,-37.83,2017-01-16
195,146.87,-37.370000000000005,2017-01-16
196,146.89999,-37.46,2017-01-16
197,147.15333222222222,-37.51555555555556,2017-01-16
198,146.669995,-37.36,2017-01-16
199,147.60001,-37.62,2017-01-16
200,145.94,-37.7,2017-01-16
201,147.76001,-37.53,2017-01-16
202,147.789995,-37.57999,2017-01-16
203,147.889995,-37.65,2017-01-16
204,147.66,-36.05,2017-01-16
205,148.36,-37.32,2017-01-16
206,148.02666333333335,-37.61333333333333,2017-01-16
207,148.32001,-37.3,2017-01-16
208,149.51999,-37.62,2017-01-16
209,147.29199400000002,-36.443996,2017-01-16
210,148.42,-37.14,2017-01-16
211,148.92,-37.52,2017-01-16
212,149.40999499999998,-37.429995000000005,2017-01-16
213,149.48666666666665,-37.50666666666667,2017-01-16
214,149.17999,-37.36,2017-01-16
215,148.86,-37.569995000000006,2017-01-16
216,148.88,-37.62,2017-01-16
217,148.008,-36.275998,2017-01-16
218,148.2924975,-36.94999875,2017-01-16
219,148.72952142857142,-37.184760476190476,2017-01-16
220,147.69333,-37.31333333333333,2017-01-16
221,148.066,-37.332,2017-01-16
222,148.07000375,-37.43999875,2017-01-16
223,147.57000333333335,-36.00666666666667,2017-01-16
224,146.915996,-37.283998,2017-01-16
225,148.99999666666668,-37.34,2017-01-16
226,147.63142857142856,-37.385714285714286,2017-01-16
227,148.95999,-37.39,2017-01-16
228,147.65333333333334,-37.52,2017-01-16
229,148.2,-36.67,2017-01-16
230,148.14999999999998,-36.8,2017-01-16
231,148.35000000000002,-36.86,2017-01-16
232,146.86,-37.18666666666667,2017-01-16
233,148.187996,-37.228,2017-01-16
234,148.22666333333333,-37.32,2017-01-16
235,148.565,-37.36,2017-01-16
236,148.46571142857144,-37.394285714285715,2017-01-16
237,148.67856857142857,-37.409997142857144,2017-01-16
238,148.39999,-37.38,2017-01-16
239,149,-37.38,2017-01-16
240,148.770005,-37.4,2017-01-16
241,146.37999666666667,-37.41,2017-01-16
242,148.40181454545456,-37.052724545454545,2017-01-16
243,148.06400200000002,-37.216,2017-01-16
244,146.79999,-37.24,2017-01-16
245,148.49,-37.29,2017-01-16
246,146.51999,-37.32,2017-01-16
247,146.48,-37.39,2017-01-16
248,148.04001,-37.15,2017-01-16
249,146.79999,-37.2,2017-01-16
250,148.48,-37.46,2017-01-16
251,148.82001,-37.42,2017-01-16
252,148.86,-37.42,2017-01-16
253,147.4374975,-36,2017-01-16
254,147.75090727272726,-36.06545272727273,2017-01-16
255,147.376665,-36.11666666666667,2017-01-16
256,147.89999,-36.230000000000004,2017-01-16
257,147.60000428571428,-37.02,2017-01-16
258,148.10001,-37.049998333333335,2017-01-16
259,148.14,-37.02,2017-01-16
260,148.20857142857142,-37.09428285714286,2017-01-16
261,147.7609995,-37.1209985,2017-01-16
262,144.26001,-37.16,2017-01-16
263,146.73999,-37.22,2017-01-16
264,147.0384623076923,-37.24153538461539,2017-01-16
265,148.889995,-37.25999,2017-01-16
266,149.13,-37.29,2017-01-16
267,149.110005,-37.35,2017-01-16
268,147.789995,-36.165,2017-01-16
269,147.49,-36.21,2017-01-16
270,147.33428714285714,-37.02571428571429,2017-01-16
271,144.16,-37.04,2017-01-16
272,146.39999,-37.19,2017-01-16
273,145.37,-37.489999999999995,2017-01-16
274,145.66666166666667,-37.556665,2017-01-16
275,141.72,-35.72,2017-01-16
276,147.620004,-36.212,2017-01-16
277,147.6914257142857,-36.84571428571429,2017-01-16
278,148.5,-36.92,2017-01-16
279,147.24444888888888,-37.14666666666667,2017-01-16
280,146.26000249999998,-37.225,2017-01-16
281,145.330005,-37.59999666666667,2017-01-16
282,147.78,-36.86,2017-01-16
283,149.71999785714286,-37.448567857142855,2017-01-16
284,148.6050075,-37.5,2017-01-16
285,147.87,-37.19,2017-01-16
286,148.889995,-37.2,2017-01-16
287,148.289995,-37.41,2017-01-16
288,147.84,-37.28,2017-01-16
289,147.84,-37.32,2017-01-16
290,148.23999,-36.88,2017-01-16
291,147.89999,-36.9,2017-01-16
292,147.28,-37.04,2017-01-16
293,147.92,-37.06,2017-01-16
294,147.44,-37.07999,2017-01-16
295,147.84,-37.1,2017-01-16
296,148.9149975,-37.115,2017-01-16
297,144.289995,-37.21,2017-01-16
298,144.34666666666666,-37.21333333333333,2017-01-16
299,149.03,-37.269995,2017-01-16
300,146.15052578947368,-37.374736842105264,2017-01-16
301,146.12000235294119,-37.47293882352941,2017-01-16
302,145.75,-37.52,2017-01-16
303,146.063335,-37.629999999999995,2017-01-16
304,145.97333,-37.806666666666665,2017-01-16
305,145.81,-36.33,2017-01-16
306,145.76,-36.370000000000005,2017-01-16
307,147.82001,-36.54,2017-01-16
308,147.01999,-37.12,2017-01-16
309,148.96999499999998,-37.15,2017-01-16
310,146.33333666666667,-37.26333,2017-01-16
311,146.39333166666665,-37.32666666666667,2017-01-16
312,148.92,-37.36,2017-01-16
313,147.11667166666666,-37.4,2017-01-16
314,147.37555444444445,-37.39111,2017-01-16
315,145.664995,-37.429995000000005,2017-01-16
316,145.76001,-37.48,2017-01-16
317,147.95999,-36.79,2017-01-16
318,144.169995,-36.989999999999995,2017-01-16
319,147.6749975,-36.974999999999994,2017-01-16
320,148.03,-37.48,2017-01-16
321,147.22,-37.57999,2017-01-16
322,145.449995,-37.83,2017-01-16
323,145.389995,-37.85,2017-01-16
324,146.01999,-37.86,2017-01-16
325,146.28,-38.02,2017-01-16
326,146.509995,-36.86,2017-01-16
327,144.04001,-37.02,2017-01-16
328,143.689995,-37.03,2017-01-16
329,144.24,-37.02666666666667,2017-01-16
330,147.45999,-37.04,2017-01-16
331,144.17999,-37.1,2017-01-16
332,144.15333333333334,-37.16,2017-01-16
333,146.90999499999998,-37.4,2017-01-16
334,147.02666333333335,-37.413333333333334,2017-01-16
335,146.25,-37.5,2017-01-16
336,147.43999666666667,-37.6,2017-01-16
337,147.14,-37.74,2017-01-16
338,147.16,-37.8,2017-01-16
339,146.39999,-38.07999,2017-01-16
340,146.86,-36.55,2017-01-16
341,144.39999,-36.66,2017-01-16
342,144.36,-36.86,2017-01-16
343,143.78,-36.929995000000005,2017-01-16
344,144.20999999999998,-36.92,2017-01-16
345,145.6749975,-37.165,2017-01-16
346,145.7,-37.2,2017-01-16
347,146.39999,-37.79,2017-01-16
348,148.38,-37.2,2017-01-16
349,145.01332666666667,-37.29333333333333,2017-01-16
350,144.26444222222221,-36.702222222222225,2017-01-16
351,144.32001,-36.66,2017-01-16
352,144.56,-36.7,2017-01-16
353,144.55846153846153,-36.79692,2017-01-16
354,144.830005,-36.74,2017-01-16
355,144.26001,-36.81,2017-01-16
356,144.4269955,-36.8709995,2017-01-16
357,144.62666666666667,-36.82666666666667,2017-01-16
358,144.697775,-36.89111055555556,2017-01-16
359,144.85428476190478,-36.967618571428574,2017-01-16
360,145.04,-36.91285642857143,2017-01-16
361,145.63,-36.9,2017-01-16
362,145.25,-36.949995,2017-01-16
363,144.75,-36.97,2017-01-16
364,146.14,-37.22,2017-01-16
365,146.26250125,-37.370000000000005,2017-01-16
366,145.1749925,-37.5599975,2017-01-16
367,146.36,-37.579996666666666,2017-01-16
