id,lon,lat,time_id
1,141.12,-37.1,1
2,141.14,-37.1,1
3,141.12,-37.12,1
4,141.14,-37.12,1
5,141.16,-37.12,1
6,141.12,-37.14,1
7,141.14,-37.14,1
8,141.16,-37.14,1
9,141.12,-37.16,1
10,141.14,-37.16,1
11,141.10001,-37.12,1
12,141.10001,-37.14,1
13,141.10001,-37.12,2
14,141.12,-37.12,2
15,141.14,-37.12,2
16,141.10001,-37.14,2
17,141.12,-37.14,2
18,141.14,-37.14,2
19,141.3,-37.64,2
20,141.3,-37.66,2
21,141.3,-37.64,3
22,141.3,-37.66,3
23,141.48,-37.34,25
24,141.48,-37.36,25
25,141.45999,-37.36,26
26,141.48,-37.34,26
27,141.48,-37.36,26
28,147.16,-37.84,26
29,147.16,-37.86,26
30,141.45999,-37.34,27
31,148.12,-37.57999,27
32,141.45999,-37.34,27
33,141.48,-37.34,27
34,141.45999,-37.36,27
35,141.48,-37.36,27
36,148.08,-37.57999,27
37,148.10001,-37.57999,27
38,148.12,-37.57999,27
39,147.16,-37.82,27
40,147.16,-37.84,27
41,147.16,-37.86,27
42,147.14,-37.84,28
43,147.16,-37.84,28
44,147.14,-37.86,28
45,147.16,-37.86,28
46,144.17999,-38.34,28
47,144.17999,-38.36,28
48,141.44,-37.34,28
49,141.45999,-37.34,28
50,141.48,-37.34,28
51,141.44,-37.36,28
52,141.45999,-37.36,28
53,141.48,-37.36,28
54,141.45999,-37.34,29
55,141.45999,-37.36,29
56,141.48,-37.36,29
57,143.58,-36.14,45
58,143.58,-36.16,45
59,143.14,-37.25999,47
60,143.12,-37.28,47
61,143.12,-37.3,47
62,143.14,-37.28,47
63,143.14,-37.3,47
64,143.16,-37.25999,47
65,143.16,-37.28,47
66,143.16,-37.3,47
67,143.14,-37.28,48
68,143.16,-37.28,48
69,143.14,-37.3,48
70,143.16,-37.3,48
71,143.14,-37.28,49
72,143.16,-37.28,49
73,143.14,-37.3,49
74,143.16,-37.3,49
75,143.16,-37.28,50
76,143.16,-37.3,50
77,141.14,-36.54,50
78,141.16,-36.54,50
79,143.14,-37.25999,50
80,143.14,-37.28,50
81,143.14,-37.3,50
82,143.16,-37.28,51
83,143.16,-37.3,51
84,143.14,-37.28,51
85,143.14,-37.3,51
86,141.12,-36.54,51
87,141.14,-36.54,51
88,141.16,-36.54,51
89,143.36,-37.32,52
90,148.64,-37.48,121
91,148.62,-37.46,121
92,148.44,-37.07999,122
93,148.42,-37.1,122
94,148.44,-37.1,122
95,148.44,-37.12,122
96,148.39999,-37.1,122
97,148.39999,-37.12,122
98,148.79999,-37.3,122
99,148.79999,-37.36,122
100,148.84,-37.38,122
101,148.86,-37.38,122
