#obstime,dettime,sat,algo,okm,sampl,line,viewzenang,viewazang,pixwid,pixlen,t07,t14,t07_t14,meant07,meant14,meandt,sdt07,sdt14,sddt,ref3,ref4,fire_idx,fire,test1_6,sunglint,firepower,freq,fQC,pixel,state,lon,lat,date,year,month,day,week,hour,hour_id
'2018-01-06 05:10:00+00','2018-01-06 05:40:43+00','Himawari-8','kn3','NC_H08_20180106_0510_R21_FLDK.06001_06001.nc',03259,04908,44.41,-7.28,71.453,100.025,329.69,310.64,19.05,311.8169,306.2708,5.5462,4.8193,3.8174,1.3832,0.077,0.206,0.4866,1,'011000',0,141.92,0.5,1,"'MULTIPOLYGON((( 145.640366  -38.544308, 144.827209  -38.627819, 144.684937  -37.733723, 145.488388  -37.651207, 145.640366  -38.544308)))'",Victoria,145.16,-38.14,2018-01-06 05:10:00,2018,1,6,1,5,2
'2018-01-06 05:10:00+00','2018-01-06 05:40:43+00','Himawari-8','kn3','NC_H08_20180106_0510_R21_FLDK.06001_06001.nc',03260,04908,44.41,-7.31,71.453,100.025,329.69,310.64,19.05,311.8305,306.3358,5.4948,4.6513,3.6902,1.363,0.077,0.206,0.4883,1,'011000',0,141.92,0.5,1,"'MULTIPOLYGON((( 145.660614  -38.544109, 144.847534  -38.627956, 144.704651  -37.733917, 145.508057  -37.651073, 145.660614  -38.544109)))'",Victoria,145.17999,-38.14,2018-01-06 05:10:00,2018,1,6,1,5,2
'2018-01-06 06:00:00+00','2018-01-06 06:30:44+00','Himawari-8','kn3','NC_H08_20180106_0600_R21_FLDK.06001_06001.nc',03052,04871,43.33,-0.6,70.17,96.465,309.28,281.85,27.43,308.552,303.0702,5.4817,3.1564,2.9197,1.3194,0.137,0.282,0.0962,1,'001000',0,160.976,0.33,1,"'MULTIPOLYGON((( 141.425476  -37.829819, 140.628433  -37.837910, 140.619141  -36.968777, 141.407043  -36.960777, 141.425476  -37.829819)))'",Victoria,141.02,-37.4,2018-01-06 06:00:00,2018,1,6,1,6,3
'2018-01-06 06:10:00+00','2018-01-06 06:40:44+00','Himawari-8','kn3','NC_H08_20180106_0610_R21_FLDK.06001_06001.nc',03053,04864,43.17,-0.63,69.986,95.959,309.04,285.31,23.73,310.2385,304.5393,5.6993,2.4,2.3208,1.1193,0.12,0.236,0.075,1,'001000',0,141.472,0.5,1,"'MULTIPOLYGON((( 141.443893  -37.687393, 140.650467  -37.695797, 140.640640  -36.831200, 141.425049  -36.822895, 141.443893  -37.687393)))'",Victoria,141.03999,-37.25999,2018-01-06 06:10:00,2018,1,6,1,6,3
'2018-01-06 06:20:00+00','2018-01-06 06:50:45+00','Himawari-8','kn3','NC_H08_20180106_0620_R21_FLDK.06001_06001.nc',03061,04882,43.58,-0.89,70.461,97.266,309.37,283.1,26.27,306.4873,300.5903,5.897,1.6205,1.9588,1.8545,0.13,0.235,0.0778,1,'001000',0,155.19,0.33,1,"'MULTIPOLYGON((( 141.611176  -38.051727, 140.808472  -38.063084, 140.793549  -37.186813, 141.586899  -37.175591, 141.611176  -38.051727)))'",Victoria,141.2,-37.62,2018-01-06 06:20:00,2018,1,6,1,6,3
'2018-01-06 06:30:00+00','2018-01-06 07:00:45+00','Himawari-8','kn3','NC_H08_20180106_0630_R21_FLDK.06001_06001.nc',03064,04881,43.55,-0.99,70.425,97.169,308.72,283.31,25.41,305.6704,299.8938,5.7766,2.0457,2.6992,2.1084,0.13,0.247,0.0946,1,'001000',0,149.757,0.5,1,"'MULTIPOLYGON((( 141.671799  -38.030727, 140.869736  -38.043194, 140.852921  -37.167816, 141.645645  -37.155495, 141.671799  -38.030727)))'",Victoria,141.25999,-37.6,2018-01-06 06:30:00,2018,1,6,1,6,3
'2018-01-06 06:30:00+00','2018-01-06 07:00:45+00','Himawari-8','kn3','NC_H08_20180106_0630_R21_FLDK.06001_06001.nc',03062,04882,43.58,-0.92,70.461,97.266,307.91,287.82,20.09,305.7699,299.9979,5.772,2.2327,3.001,2.0403,0.095,0.187,0.0774,1,'001000',0,120.552,0.33,1,"'MULTIPOLYGON((( 141.631470  -38.051556, 140.828766  -38.063248, 140.813278  -37.186985, 141.606613  -37.175430, 141.631470  -38.051556)))'",Victoria,141.22,-37.62,2018-01-06 06:30:00,2018,1,6,1,6,3
'2018-01-06 06:30:00+00','2018-01-06 07:00:45+00','Himawari-8','kn3','NC_H08_20180106_0630_R21_FLDK.06001_06001.nc',03063,04882,43.58,-0.95,70.461,97.266,307.91,287.82,20.09,305.5737,299.7668,5.8069,2.2879,2.9847,2.0646,0.095,0.187,0.0778,1,'001000',0,120.552,0.5,1,"'MULTIPOLYGON((( 141.651733  -38.051384, 140.849045  -38.063408, 140.832977  -37.187153, 141.626312  -37.175266, 141.651733  -38.051384)))'",Victoria,141.23999,-37.62,2018-01-06 06:30:00,2018,1,6,1,6,3
'2018-01-06 06:40:00+00','2018-01-06 07:10:44+00','Himawari-8','kn3','NC_H08_20180106_0640_R21_FLDK.06001_06001.nc',03054,04865,43.19,-0.66,70.009,96.022,307.94,285.75,22.19,307.0425,302.2779,4.7645,2.298,1.791,1.5734,0.112,0.236,0.10780000000000001,1,'001000',0,131.824,0.5,1,"'MULTIPOLYGON((( 141.464417  -37.707508, 140.670532  -37.716244, 140.660126  -36.851089, 141.444992  -36.842453, 141.464417  -37.707508)))'",Victoria,141.06,-37.28,2018-01-06 06:40:00,2018,1,6,1,6,3
'2018-01-06 06:40:00+00','2018-01-06 07:10:44+00','Himawari-8','kn3','NC_H08_20180106_0640_R21_FLDK.06001_06001.nc',03064,04882,43.58,-0.99,70.461,97.266,309.01,280.79,28.22,305.4476,300.2,5.2476,1.6781,2.4713,2.073,0.147,0.253,0.1107,1,'001000',0,164.52,0.5,1,"'MULTIPOLYGON((( 141.672119  -38.051155, 140.869446  -38.063625, 140.852600  -37.187382, 141.645920  -37.175053, 141.672119  -38.051155)))'",Victoria,141.25999,-37.62,2018-01-06 06:40:00,2018,1,6,1,6,3
'2018-01-06 06:40:00+00','2018-01-06 07:10:44+00','Himawari-8','kn3','NC_H08_20180106_0640_R21_FLDK.06001_06001.nc',03064,04883,43.6,-0.99,70.484,97.33,307.38,286.9,20.48,305.3891,300.1524,5.2367,1.6899,2.3904,2.0207,0.087,0.175,0.1107,1,'001000',0,122.003,0.5,1,"'MULTIPOLYGON((( 141.672379  -38.071445, 140.869202  -38.083920, 140.852356  -37.207096, 141.646149  -37.194763, 141.672379  -38.071445)))'",Victoria,141.25999,-37.64,2018-01-06 06:40:00,2018,1,6,1,6,3
'2018-01-06 06:50:00+00','2018-01-06 07:20:45+00','Himawari-8','kn3','NC_H08_20180106_0650_R21_FLDK.06001_06001.nc',03052,04872,43.35,-0.59,70.193,96.528,307.36,285.86,21.5,305.7307,299.8526,5.8781,1.7989,1.9837,2.1495,0.108,0.229,0.082,1,'001000',0,127.412,0.33,1,"'MULTIPOLYGON((( 141.425629  -37.850155, 140.628098  -37.858135, 140.619003  -36.988434, 141.407364  -36.980541, 141.425629  -37.850155)))'",Victoria,141.02,-37.42,2018-01-06 06:50:00,2018,1,6,1,6,4
'2018-01-06 06:50:00+00','2018-01-06 07:20:45+00','Himawari-8','kn3','NC_H08_20180106_0650_R21_FLDK.06001_06001.nc',03065,04882,43.58,-1.02,70.461,97.266,307.13,282.96,24.17,304.7286,299.7278,5.0008,2.1455,2.7342,2.2459,0.131,0.211,0.1092,1,'001000',0,141.03,0.5,1,"'MULTIPOLYGON((( 141.692413  -38.050983, 140.889740  -38.063789, 140.872330  -37.187550, 141.665634  -37.174892, 141.692413  -38.050983)))'",Victoria,141.28,-37.62,2018-01-06 06:50:00,2018,1,6,1,6,4
'2018-01-06 07:00:00+00','2018-01-06 07:30:46+00','Himawari-8','kn3','NC_H08_20180106_0700_R21_FLDK.06001_06001.nc',03229,04892,43.99,-6.35,70.945,98.609,316.63,297.12,19.51,306.4385,300.7069,5.7316,2.8743,2.4805,1.1998,0.079,0.144,0.2214,1,'011000',0,128.004,0.33,1,"'MULTIPOLYGON((( 145.026047  -38.224380, 144.220688  -38.296932, 144.099014  -37.413769, 144.894974  -37.342064, 145.026047  -38.224380)))'",Victoria,144.56,-37.82,2018-01-06 07:00:00,2018,1,6,1,7,4
'2018-01-06 07:00:00+00','2018-01-06 07:30:46+00','Himawari-8','kn3','NC_H08_20180106_0700_R21_FLDK.06001_06001.nc',03230,04892,43.99,-6.38,70.945,98.609,329.34,298.71,30.63,306.3203,300.6091,5.7112,2.9602,2.5625,1.2693,0.09,0.152,0.6993,1,'011000',0,215.633,0.33,1,"'MULTIPOLYGON((( 145.046326  -38.224186, 144.240997  -38.297073, 144.118744  -37.413960, 144.914658  -37.341927, 145.046326  -38.224186)))'",Victoria,144.58,-37.82,2018-01-06 07:00:00,2018,1,6,1,7,4
'2018-01-06 07:10:00+00','2018-01-06 07:40:46+00','Himawari-8','kn3','NC_H08_20180106_0710_R21_FLDK.06001_06001.nc',03230,04893,44.02,-6.38,70.981,98.709,330.21,300.7,29.51,304.792,299.1568,5.6352,2.6195,2.2513,1.7018,0.07,0.106,0.83,1,'011000',0,210.559,0.33,1,"'MULTIPOLYGON((( 145.046722  -38.244610, 144.240768  -38.317532, 144.118362  -37.433529, 144.914886  -37.361458, 145.046722  -38.244610)))'",Victoria,144.58,-37.84,2018-01-06 07:10:00,2018,1,6,1,7,4
'2018-01-06 07:30:00+00','2018-01-06 08:00:47+00','Himawari-8','kn3','NC_H08_20180106_0730_R21_FLDK.06001_06001.nc',03075,04857,43.02,-1.36,69.815,95.49,303.8,284.26,19.54,304.8492,300.6668,4.1824,1.4693,2.3121,2.1547,0.11,0.148,0.0711,1,'001000',0,112.777,0.33,1,"'MULTIPOLYGON((( 141.888885  -37.541172, 141.099106  -37.557613, 141.075623  -36.697392, 141.856522  -36.681137, 141.888885  -37.541172)))'",Victoria,141.48,-37.12,2018-01-06 07:30:00,2018,1,6,1,7,4
'2018-01-06 07:40:00+00','2018-01-06 08:10:47+00','Himawari-8','kn3','NC_H08_20180106_0740_R21_FLDK.06001_06001.nc',03076,04856,43,-1.39,69.792,95.428,303.01,285.25,17.76,303.959,299.8691,4.0899,1.2444,2.4694,2.4678,0.084,0.123,0.073,1,'001000',0,102.589,0.33,1,"'MULTIPOLYGON((( 141.908905  -37.520729, 141.119614  -37.537495, 141.095596  -36.677841, 141.876022  -36.661263, 141.908905  -37.520729)))'",Victoria,141.5,-37.1,2018-01-06 07:40:00,2018,1,6,1,7,5
'2018-01-07 02:00:00+00','2018-01-07 02:30:44+00','Himawari-8','kn3','NC_H08_20180107_0200_R21_FLDK.06001_06001.nc',03305,04846,43.14,-9.01,69.951,95.865,310.86,282.36,28.5,308.7581,303.6553,5.1028,3.1622,2.3645,1.1693,0.17,0.3,0.1645,1,'001000',0,169.062,0.6,1,"'MULTIPOLYGON((( 146.555191  -37.275421, 145.776093  -37.376087, 145.609451  -36.522678, 146.380157  -36.423107, 146.555191  -37.275421)))'",Victoria,146.08,-36.9,2018-01-07 02:00:00,2018,1,7,1,2,23
'2018-01-07 02:00:00+00','2018-01-07 02:30:44+00','Himawari-8','kn3','NC_H08_20180107_0200_R21_FLDK.06001_06001.nc',03306,04846,43.14,-9.04,69.951,95.865,310.86,282.36,28.5,308.6412,303.5958,5.0454,3.1788,2.393,1.1441,0.17,0.3,0.1668,1,'001000',0,169.062,0.6,1,"'MULTIPOLYGON((( 146.575439  -37.275223, 145.796402  -37.376217, 145.629211  -36.522877, 146.399857  -36.422981, 146.575439  -37.275223)))'",Victoria,146.10001,-36.9,2018-01-07 02:00:00,2018,1,7,1,2,23
'2018-01-07 02:20:00+00','2018-01-07 02:50:42+00','Himawari-8','kn3','NC_H08_20180107_0220_R21_FLDK.06001_06001.nc',03304,04845,43.11,-8.98,69.917,95.771,311.11,285.78,25.33,309.3398,303.8687,5.4711,2.9853,2.2759,1.2244,0.176,0.31,0.1689,1,'001000',0,152.986,0.8,1,"'MULTIPOLYGON((( 146.534546  -37.255226, 145.755951  -37.355518, 145.590088  -36.502869, 146.360291  -36.403671, 146.534546  -37.255226)))'",Victoria,146.06,-36.88,2018-01-07 02:20:00,2018,1,7,1,2,23
'2018-01-07 02:20:00+00','2018-01-07 02:50:42+00','Himawari-8','kn3','NC_H08_20180107_0220_R21_FLDK.06001_06001.nc',03306,04847,43.16,-9.04,69.974,95.928,311.02,283.67,27.35,308.9723,303.6406,5.3317,3.0027,2.4167,1.2146,0.192,0.328,0.1377,1,'001000',0,163.418,0.6,1,"'MULTIPOLYGON((( 146.575760  -37.295479, 145.796249  -37.396507, 145.628906  -36.542610, 146.400009  -36.442684, 146.575760  -37.295479)))'",Victoria,146.10001,-36.92,2018-01-07 02:20:00,2018,1,7,1,2,23
'2018-01-07 02:20:00+00','2018-01-07 02:50:42+00','Himawari-8','kn3','NC_H08_20180107_0220_R21_FLDK.06001_06001.nc',03306,04848,43.19,-9.03,70.009,96.022,311.02,283.67,27.35,308.5137,303.2387,5.275,2.8777,2.3461,1.2723,0.192,0.328,0.1423,1,'001000',0,163.418,0.6,1,"'MULTIPOLYGON((( 146.576080  -37.315933, 145.795959  -37.416904, 145.628601  -36.562145, 146.400284  -36.462280, 146.576080  -37.315933)))'",Victoria,146.10001,-36.93999,2018-01-07 02:20:00,2018,1,7,1,2,23
'2018-01-07 02:30:00+00','2018-01-07 03:00:41+00','Himawari-8','kn3','NC_H08_20180107_0230_R21_FLDK.06001_06001.nc',03304,04846,43.14,-8.97,69.951,95.865,311.2,286.18,25.02,309.3843,303.852,5.5323,3.0859,2.3424,1.1854,0.16,0.274,0.1909,1,'001000',0,151.48,0.6,1,"'MULTIPOLYGON((( 146.534866  -37.275688, 145.755661  -37.375919, 145.589767  -36.522411, 146.360565  -36.423275, 146.534866  -37.275688)))'",Victoria,146.06,-36.9,2018-01-07 02:30:00,2018,1,7,1,2,23
'2018-01-07 02:30:00+00','2018-01-07 03:00:41+00','Himawari-8','kn3','NC_H08_20180107_0230_R21_FLDK.06001_06001.nc',03304,04847,43.16,-8.97,69.974,95.928,312.37,282.24,30.13,309.4378,303.8631,5.5747,3.0669,2.3376,1.1964,0.184,0.311,0.1848,1,'001000',0,180.037,0.6,1,"'MULTIPOLYGON((( 146.535172  -37.295944, 145.755508  -37.396210, 145.589478  -36.542149, 146.360718  -36.442978, 146.535172  -37.295944)))'",Victoria,146.06,-36.92,2018-01-07 02:30:00,2018,1,7,1,2,23
'2018-01-07 02:30:00+00','2018-01-07 03:00:41+00','Himawari-8','kn3','NC_H08_20180107_0230_R21_FLDK.06001_06001.nc',03305,04847,43.16,-9,69.974,95.928,312.37,282.24,30.13,309.2151,303.7201,5.4949,3.1012,2.3187,1.2327,0.184,0.311,0.1885,1,'001000',0,180.037,0.6,1,"'MULTIPOLYGON((( 146.555420  -37.295746, 145.775833  -37.396336, 145.609238  -36.542343, 146.380417  -36.442852, 146.555420  -37.295746)))'",Victoria,146.08,-36.92,2018-01-07 02:30:00,2018,1,7,1,2,23
'2018-01-07 06:30:00+00','2018-01-07 07:00:45+00','Himawari-8','kn3','NC_H08_20180107_0630_R21_FLDK.06001_06001.nc',03159,04851,42.96,-4.15,69.746,95.304,308.06,287.93,20.13,305.8812,300.4049,5.4763,3.9341,3.083,2.159,0.086,0.157,0.0848,1,'001000',0,120.951,0.33,1,"'MULTIPOLYGON((( 143.592941  -37.403938, 142.807159  -37.451096, 142.731628  -36.594471, 143.508698  -36.547836, 143.592941  -37.403938)))'",Victoria,143.16,-37,2018-01-07 06:30:00,2018,1,7,1,6,27
'2018-01-07 06:30:00+00','2018-01-07 07:00:45+00','Himawari-8','kn3','NC_H08_20180107_0630_R21_FLDK.06001_06001.nc',03159,04852,42.98,-4.15,69.769,95.366,308.06,287.93,20.13,305.7605,300.2699,5.4906,3.8882,3.0855,2.1893,0.086,0.157,0.0852,1,'001000',0,120.951,0.33,1,"'MULTIPOLYGON((( 143.593201  -37.424206, 142.806961  -37.471375, 142.731369  -36.614197, 143.508881  -36.567547, 143.593201  -37.424206)))'",Victoria,143.16,-37.02,2018-01-07 06:30:00,2018,1,7,1,6,27
'2018-01-07 06:40:00+00','2018-01-07 07:10:44+00','Himawari-8','kn3','NC_H08_20180107_0640_R21_FLDK.06001_06001.nc',03396,04813,42.72,-12.13,69.476,94.567,311.07,289.6,21.47,305.5112,299.8573,5.6539,3.3813,4.0364,2.2581,0.133,0.231,0.0791,1,'001000',0,132.083,0.33,1,"'MULTIPOLYGON((( 148.391510  -36.588909, 147.632385  -36.722553, 147.412827  -35.889065, 148.164322  -35.756813, 148.391510  -36.588909)))'",Victoria,147.89999,-36.24,2018-01-07 06:40:00,2018,1,7,1,6,27
'2018-01-07 06:40:00+00','2018-01-07 07:10:44+00','Himawari-8','kn3','NC_H08_20180107_0640_R21_FLDK.06001_06001.nc',03396,04814,42.74,-12.13,69.498,94.628,310.01,286.36,23.65,305.1524,299.4966,5.6559,3.7752,4.4112,2.2716,0.137,0.239,0.0739,1,'001000',0,142.434,0.33,1,"'MULTIPOLYGON((( 148.391846  -36.609150, 147.632278  -36.742836, 147.412521  -35.908813, 148.164444  -35.776524, 148.391846  -36.609150)))'",Victoria,147.89999,-36.25999,2018-01-07 06:40:00,2018,1,7,1,6,27
'2018-01-07 06:40:00+00','2018-01-07 07:10:44+00','Himawari-8','kn3','NC_H08_20180107_0640_R21_FLDK.06001_06001.nc',03396,04815,42.76,-12.12,69.521,94.689,310.01,286.36,23.65,304.745,299.0831,5.6619,4.0646,4.775,2.3511,0.137,0.239,0.0764,1,'001000',0,142.434,0.33,1,"'MULTIPOLYGON((( 148.392090  -36.629467, 147.632050  -36.763092, 147.412277  -35.928501, 148.164658  -35.796272, 148.392090  -36.629467)))'",Victoria,147.89999,-36.28,2018-01-07 06:40:00,2018,1,7,1,6,27
'2018-01-07 06:40:00+00','2018-01-07 07:10:44+00','Himawari-8','kn3','NC_H08_20180107_0640_R21_FLDK.06001_06001.nc',03160,04852,42.98,-4.18,69.769,95.366,306.89,283.13,23.76,303.1523,295.4374,7.715,5.3936,8.0353,3.4902,0.091,0.151,0.0839,1,'001000',0,138.581,0.33,1,"'MULTIPOLYGON((( 143.613464  -37.424023, 142.827255  -37.471523, 142.751099  -36.614376, 143.528580  -36.567402, 143.613464  -37.424023)))'",Victoria,143.17999,-37.02,2018-01-07 06:40:00,2018,1,7,1,6,27
'2018-01-07 06:50:00+00','2018-01-07 07:20:45+00','Himawari-8','kn3','NC_H08_20180107_0650_R21_FLDK.06001_06001.nc',03395,04814,42.73,-12.1,69.487,94.597,310.98,290.38,20.6,303.1007,296.6443,6.4565,5.5451,9.2834,4.8285,0.118,0.214,0.1206,1,'001000',0,127.155,0.33,1,"'MULTIPOLYGON((( 148.371521  -36.609234, 147.612000  -36.742577, 147.392853  -35.908733, 148.144730  -35.776779, 148.371521  -36.609234)))'",Victoria,147.88,-36.25999,2018-01-07 06:50:00,2018,1,7,1,6,28
'2018-01-07 06:50:00+00','2018-01-07 07:20:45+00','Himawari-8','kn3','NC_H08_20180107_0650_R21_FLDK.06001_06001.nc',03395,04815,42.76,-12.09,69.521,94.689,310.98,290.38,20.6,303.192,297.2155,5.9765,4.6485,7.0588,3.8769,0.118,0.214,0.1272,1,'001000',0,127.155,0.33,1,"'MULTIPOLYGON((( 148.371872  -36.629677, 147.611740  -36.762978, 147.392517  -35.928295, 148.144974  -35.796387, 148.371872  -36.629677)))'",Victoria,147.88,-36.28,2018-01-07 06:50:00,2018,1,7,1,6,28
'2018-01-07 06:50:00+00','2018-01-07 07:20:45+00','Himawari-8','kn3','NC_H08_20180107_0650_R21_FLDK.06001_06001.nc',03395,04816,42.78,-12.08,69.543,94.75,308.77,291.21,17.56,303.0722,297.3623,5.7099,4.4805,6.0499,3.2689,0.078,0.176,0.1107,1,'001000',0,107.612,0.33,1,"'MULTIPOLYGON((( 148.372116  -36.649986, 147.611511  -36.783226, 147.392273  -35.947975, 148.145203  -35.816132, 148.372116  -36.649986)))'",Victoria,147.88,-36.3,2018-01-07 06:50:00,2018,1,7,1,6,28
'2018-01-07 07:00:00+00','2018-01-07 07:30:45+00','Himawari-8','kn3','NC_H08_20180107_0700_R21_FLDK.06001_06001.nc',03140,04771,41.13,-3.65,67.766,89.968,311.8,292.48,19.32,307.7863,301.053,6.7332,3.6171,5.397,2.4677,0.201,0.235,0.103,1,'001000',0,120.981,0.33,1,"'MULTIPOLYGON((( 143.186752  -35.783749, 142.438660  -35.824203, 142.377090  -35.014874, 143.117767  -34.974815, 143.186752  -35.783749)))'",Victoria,142.78,-35.4,2018-01-07 07:00:00,2018,1,7,1,7,28
'2018-01-07 07:10:00+00','2018-01-07 07:40:45+00','Himawari-8','kn3','NC_H08_20180107_0710_R21_FLDK.06001_06001.nc',03101,04742,40.44,-2.34,67.065,88.118,314.59,298.06,16.53,315.5688,310.3453,5.2235,2.0753,2.0941,0.7047,0.074,0.142,0.0851,1,'001000',0,107.84,0.33,1,"'MULTIPOLYGON((( 142.388733  -35.203129, 141.652832  -35.229298, 141.614853  -34.435616, 142.343750  -34.409695, 142.388733  -35.203129)))'",Victoria,142,-34.82,2018-01-07 07:10:00,2018,1,7,1,7,28
'2018-01-07 07:20:00+00','2018-01-07 07:50:45+00','Himawari-8','kn3','NC_H08_20180107_0720_R21_FLDK.06001_06001.nc',03050,04739,40.35,-0.55,66.976,87.883,311.07,293.62,17.45,311.1568,306.1809,4.9759,1.7724,2.0333,1.1068,0.094,0.15,0.0721,1,'001000',0,109.473,0.33,1,"'MULTIPOLYGON((( 141.353195  -35.151901, 140.618195  -35.159088, 140.610306  -34.366928, 141.338333  -34.359810, 141.353195  -35.151901)))'",Victoria,140.98,-34.75999,2018-01-07 07:20:00,2018,1,7,1,7,28
