#obstime,dettime,sat,algo,okm,sampl,line,viewzenang,viewazang,pixwid,pixlen,t07,t14,t07_t14,meant07,meant14,meandt,sdt07,sdt14,sddt,ref3,ref4,fire_idx,fire,test1_6,sunglint,firepower,freq,fQC,pixel,state,lon,lat,date,year,month,day,week,hour,hour_id
'2018-01-06 04:10:00+00','2018-01-06 04:40:41+00','Himawari-8','kn3','NC_H08_20180106_0410_R21_FLDK.06001_06001.nc',03260,04907,44.38,-7.32,71.416,99.923,341.83,313.61,28.22,313.2825,308.0335,5.249,5.1231,4.2242,1.3144,0.111,0.226,1.1722,1,'011000',0,225.69,1,1,"'MULTIPOLYGON((( 145.660294  -38.523605, 144.847870  -38.607521, 144.704971  -37.714417, 145.507736  -37.631500, 145.660294  -38.523605)))'",Victoria,145.17999,-38.12,2018-01-06 04:10:00,2018,1,6,1,4,1
'2018-01-06 04:20:00+00','2018-01-06 04:50:42+00','Himawari-8','kn3','NC_H08_20180106_0420_R21_FLDK.06001_06001.nc',03260,04906,44.36,-7.32,71.392,99.854,348.98,314.88,34.1,313.8874,308.5407,5.3467,4.6322,3.8186,1.2991,0.106,0.224,1.6505,1,'011000',0,283.584,1,1,"'MULTIPOLYGON((( 145.659958  -38.503319, 144.848038  -38.587208, 144.705276  -37.694710, 145.507553  -37.611824, 145.659958  -38.503319)))'",Victoria,145.17999,-38.1,2018-01-06 04:20:00,2018,1,6,1,4,1
'2018-01-06 04:20:00+00','2018-01-06 04:50:42+00','Himawari-8','kn3','NC_H08_20180106_0420_R21_FLDK.06001_06001.nc',03261,04907,44.39,-7.35,71.429,99.957,348.98,314.88,34.1,313.4469,308.2366,5.2103,4.8897,3.989,1.3526,0.106,0.224,1.6574,1,'011000',0,283.584,1,1,"'MULTIPOLYGON((( 145.680664  -38.523548, 144.868149  -38.607819, 144.724609  -37.714466, 145.527451  -37.631207, 145.680664  -38.523548)))'",Victoria,145.2,-38.12,2018-01-06 04:20:00,2018,1,6,1,4,1
'2018-01-06 04:20:00+00','2018-01-06 04:50:42+00','Himawari-8','kn3','NC_H08_20180106_0420_R21_FLDK.06001_06001.nc',03261,04908,44.41,-7.35,71.453,100.025,352.55,314.05,38.5,313.0512,307.8804,5.1708,4.939,4.0203,1.4048,0.109,0.23,1.9167,1,'011000',0,324.381,1,1,"'MULTIPOLYGON((( 145.680984  -38.543842, 144.867966  -38.628139, 144.724304  -37.734180, 145.527634  -37.650890, 145.680984  -38.543842)))'",Victoria,145.2,-38.14,2018-01-06 04:20:00,2018,1,6,1,4,1
'2018-01-06 04:30:00+00','2018-01-06 05:00:42+00','Himawari-8','kn3','NC_H08_20180106_0430_R21_FLDK.06001_06001.nc',03260,04908,44.41,-7.32,71.453,100.025,345.11,313.54,31.57,312.9476,307.5879,5.3598,5.0111,4.173,1.2897,0.088,0.234,1.4568,1,'011000',0,256.323,1,1,"'MULTIPOLYGON((( 145.660706  -38.544041, 144.847641  -38.628002, 144.704559  -37.733982, 145.507950  -37.651028, 145.660706  -38.544041)))'",Victoria,145.17999,-38.14,2018-01-06 04:30:00,2018,1,6,1,4,1
'2018-01-06 04:50:00+00','2018-01-06 05:20:42+00','Himawari-8','kn3','NC_H08_20180106_0450_R21_FLDK.06001_06001.nc',03259,04907,44.38,-7.29,71.416,99.923,326.73,311.63,15.1,312.6222,307.0695,5.5528,5.1575,4.1794,1.354,0.101,0.203,0.233,1,'011000',0,111.422,0.83,1,"'MULTIPOLYGON((( 145.640030  -38.523804, 144.827545  -38.607384, 144.685242  -37.714218, 145.488068  -37.631638, 145.640030  -38.523804)))'",Victoria,145.16,-38.12,2018-01-06 04:50:00,2018,1,6,1,4,2
'2018-01-06 04:50:00+00','2018-01-06 05:20:42+00','Himawari-8','kn3','NC_H08_20180106_0450_R21_FLDK.06001_06001.nc',03259,04908,44.4,-7.28,71.441,99.991,333.58,311.93,21.65,312.3571,306.8222,5.535,5.1582,4.1916,1.3668,0.082,0.22,0.6681,1,'011000',0,165.275,0.83,1,"'MULTIPOLYGON((( 145.640259  -38.544163, 144.827255  -38.627659, 144.685028  -37.733868, 145.488342  -37.651367, 145.640259  -38.544163)))'",Victoria,145.16,-38.14,2018-01-06 04:50:00,2018,1,6,1,4,2
'2018-01-06 05:00:00+00','2018-01-06 05:30:42+00','Himawari-8','kn3','NC_H08_20180106_0500_R21_FLDK.06001_06001.nc',03261,04908,44.41,-7.35,71.453,100.025,332.38,311.13,21.25,312.1092,306.6634,5.4459,4.6977,3.6816,1.4025,0.095,0.209,0.5938,1,'011000',0,160.713,0.5,1,"'MULTIPOLYGON((( 145.680984  -38.543842, 144.867966  -38.628139, 144.724304  -37.734180, 145.527634  -37.650890, 145.680984  -38.543842)))'",Victoria,145.2,-38.14,2018-01-06 05:00:00,2018,1,6,1,5,2
'2018-01-06 05:10:00+00','2018-01-06 05:40:43+00','Himawari-8','kn3','NC_H08_20180106_0510_R21_FLDK.06001_06001.nc',03259,04907,44.38,-7.28,71.416,99.923,325.47,310.56,14.91,312.0042,306.4373,5.5668,4.8343,3.8028,1.3815,0.092,0.193,0.2203,1,'011000',0,108.818,0.5,1,"'MULTIPOLYGON((( 145.639938  -38.523869, 144.827438  -38.607338, 144.685333  -37.714153, 145.488174  -37.631683, 145.639938  -38.523869)))'",Victoria,145.16,-38.12,2018-01-06 05:10:00,2018,1,6,1,5,2
'2018-01-06 05:10:00+00','2018-01-06 05:40:43+00','Himawari-8','kn3','NC_H08_20180106_0510_R21_FLDK.06001_06001.nc',03260,04907,44.39,-7.32,71.429,99.957,325.47,310.56,14.91,312.0214,306.5151,5.5064,4.6263,3.654,1.3471,0.092,0.193,0.2224,1,'011000',0,108.818,0.5,1,"'MULTIPOLYGON((( 145.660385  -38.523750, 144.847824  -38.607681, 144.704880  -37.714272, 145.507767  -37.631344, 145.660385  -38.523750)))'",Victoria,145.17999,-38.12,2018-01-06 05:10:00,2018,1,6,1,5,2
